id,sec,loc,claim,value,exp,data,script,figure,worklog,status,note
C-11,2 Quenched fold ensemble,Sec. 2.1 (last paragraph),The Hopf margin at the fold decreases with delay roughly as 1/tau but stays clearly positive for tau up to about 1e2 at alpha <= 0.05.,Margin erosion ~1/tau; margin x tau reaches a plateau for the pinned branch.,"E15 (pinned Hopf margin), E17 (nonlinear probe of the Hopf window)",data/3_threshold_scaling/data/E15_pinned_margins.npz ; data/1_static_bifurcation/data/E17_hopf_birth.npz,code/experiments/e15_pinned_hopf_margin.py ; code/experiments/e17_hopf_birth.py,-  (figures/experiments/3_threshold_scaling/figG_pinned_hopf_margin.png),docs/worklogs/CYCLE_worklog.md E15/E17 ; docs/worklogs/REPORT_static_bifurcation.md §5.6,qualified,"The independent V5 campaign N5B found no imaginary-axis crossing over 200/200 spectral points and 5 seeds, but was withdrawn from the manuscript scope on 2026-07-30; the supported statement is spectral softening without a resolved Hopf preemption."
C-12,2 Quenched fold ensemble,"Sec. 2.2, Eq. (18)",The P=100 primary branches of the reference sample terminate at distinct quenched saddle-node thresholds spanning a wide interval.,"min = 0.2195 (pattern 28), median = 0.2742, max = 0.3276 (pattern 91), lambda_c(1) = 0.2822; each bracketed by bisection to +/- 2e-4; interval width 0.11, ~50x the single-threshold uncertainty.",E24 (all-motif threshold tracer),data/3_threshold_scaling/data/E24_thr_N2000_P100_s42.npz,code/experiments/e24_thresholds.py,"Figure02_global_bifurcation.png (b,c)",docs/worklogs/CYCLE_worklog.md E24 ; docs/worklogs/REPORT_static_bifurcation.md §5.7-5.8,established,"Primary estimator is bisection (lam_c), not spectral extrapolation."
C-13,2 Quenched fold ensemble,"Sec. 2.3, Eq. (19)",Branches tilt toward their successor well before the fold: the deformation is a broad precursor occupying most of the branch.,"median over motifs of lambda_50/lambda_c = 0.64, IQR [0.61, 0.66].",E24a,data/3_threshold_scaling/data/E24_curves_N2000_s42.npz,code/experiments/e24a_geometry.py,Figure03_static_folds.png (c),docs/worklogs/CYCLE_worklog.md E24a,established,
C-14,2 Quenched fold ensemble,Sec. 2.3,Rescaling lambda by each branch's own threshold collapses the 100 trajectories onto a quasi-single shape.,Universal normalized path to death; disorder only sets when a branch dies.,E24a,data/3_threshold_scaling/data/E24_curves_N2000_s42.npz ; data/3_threshold_scaling/data/E24_curves_N10000_s42.npz,code/experiments/e24a_geometry.py,"Figure03_static_folds.png (b,c)",docs/worklogs/CYCLE_worklog.md E24a ; results index figU_branch_geometry.png,qualified,"Reported by the V5 evidence register as a 'direct empirical observation', not a proven universality."
C-15,2 Quenched fold ensemble,Sec. 2.3,The terminal tilt ratio varies across branches and correlates strongly with the threshold itself.,"r_c ranges 0.29-0.49; corr(r_c, lambda_c) = +0.75 at N=1e4 (+0.81 at N=2000).",E25 (death shape),data/3_threshold_scaling/data/E25_deathshape.npz ; data/3_threshold_scaling/data/E25_deathshape_N10000.npz,code/experiments/e25_deathshape.py,Figure03_static_folds.png,docs/worklogs/CYCLE_worklog.md E25,established,The V5 register phrases the same data as 'fold shape is not strictly universal' (terminal ratio 0.285-0.489).
C-16,2 Quenched fold ensemble,Sec. 2.3,"At fixed threshold, residual scatter of the terminal tilt is almost entirely explained by the local quenched bond overlap q_mu.","partial corr(q_mu, r_c | lambda_c) = +0.90 at N=1e4 (+0.95 at N=2000).",E25,data/3_threshold_scaling/data/E25_deathshape.npz,code/experiments/e25_deathshape.py,Figure03_static_folds.png,docs/worklogs/CYCLE_worklog.md E25,established,The results index flags a nuance on the partial correlation; see the E25 entry.
C-17,2 Quenched fold ensemble,Sec. 2.3 (saturation paragraph),The saturated overlap readout hides the amplitude tilt until the immediate vicinity of the fold.,"At beta=20, tanh(beta u) is within 1e-4 of sgn(u) whenever |u| >~ 0.5; on a tilted branch a_mu ~ 0.75, a_{mu+1} ~ 0.25 gives |u_i| >= 0.5 on every site.",-- (analytic reading of E24a curves),data/3_threshold_scaling/data/E24_curves_N2000_s42.npz,code/experiments/e24a_geometry.py,Figure03_static_folds.png (e),docs/worklogs/CYCLE_worklog.md E24a,analytic,
C-18,2 Quenched fold ensemble,Sec. 2.3 (normal form),Near the fold the geometry is the generic saddle-node one; the saddle-node distance and the rightmost eigenvalue scale as |lambda - lambda_c|^(1/2).,Direct continuation at N=1e4; fits on representative branches give R^2 = 0.93-0.98.,E24 / E21d,data/3_threshold_scaling/data/E24_thr_N16000_P100_s42.npz ; data/3_threshold_scaling/data/E21d_memory_fold_check.npz,code/experiments/e24_analysis.py ; code/experiments/e21d_memory_fold_check.py,Figure03_static_folds.png (d),docs/worklogs/CYCLE_worklog.md E24/E21d,qualified,Direct over the tested windows only.
C-19,2 Quenched fold ensemble,Sec. 2.3 (labelling),"Memory labels are inherited continuously from the lambda=0 retrieval state and checked through the overlap vector, so {lambda_c(mu)} is a well-defined quenched observable.",Protocol statement.,E24,data/3_threshold_scaling/data/E24_thr_N2000_P100_s42.npz,code/experiments/e24_thresholds.py,-,docs/worklogs/CYCLE_worklog.md E24,established,
C-20,3 Threshold law,Sec. 3.1,Load sets the centre of the threshold law; size sets its width.,"At N=1e4 the median threshold moves 0.38 -> 0.35 -> 0.27 for alpha = 0.01, 0.02, 0.05, while sigma moves only 0.0076 -> 0.0081 -> 0.0094 (+24% for a five-fold load increase, vs a factor ~2.4 between N=2000 and N=1e4).",E26 (threshold law vs alpha),"data/3_threshold_scaling/data/E26_thr_N10000_P{100,200,500,800,1000}_s{42,43}.npz",code/experiments/e26_analysis.py,"Figure04_thresholds.png (a,f,g)",docs/worklogs/CYCLE_worklog.md E26,established,
C-21,3 Threshold law,Sec. 3.1,The standardized threshold laws at different loads are statistically indistinguishable: the ensemble is a position-scale family.,"Pairwise two-sample KS tests (0.01 vs 0.02, 0.01 vs 0.05, 0.02 vs 0.05) give p = 0.85, 0.87, 0.25.",E26,"data/3_threshold_scaling/data/E26_thr_N10000_P{100,200,500,800,1000}_s{42,43}.npz",code/experiments/e26_analysis.py,Figure04_thresholds.png (b),docs/worklogs/CYCLE_worklog.md E26,established,Valid within the tested load range only (alpha <= 0.05); E26 records a breakdown for alpha >= 0.08.
C-22,3 Threshold law,Sec. 3.1,"The pooled standardized law is near-Gaussian, with a small negative skew and excess tails.","Pooling fixed-load data for N >= 4000 (8764 branch thresholds): skewness -0.45, excess kurtosis 1.0, max CDF distance 0.026 from a fitted normal.",E30 / N3,data/3_threshold_scaling/data/E30_scaling/  (303 runs),code/experiments/e30_analysis.py ; code/campaigns/n3_reanalyse.py,Figure04_thresholds.png (c),docs/worklogs/CYCLE_worklog.md E30 ; data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §5,established,
C-23,3 Threshold law,Sec. 3.1,The thresholds are quasi-i.i.d. around the memory ring.,lag-one autocorrelation of neighbouring thresholds = -0.009 at N=1e4.,E25 / E30,data/3_threshold_scaling/data/E25_deathshape_N10000.npz,code/experiments/e25_deathshape.py,-,docs/worklogs/CYCLE_worklog.md E25,established,
C-24,3 Threshold law,"Sec. 3.1, Eq. (22)","The width of the threshold law narrows with system size as a power law, below the CLT value 1/2.","sigma ~ N^-b with b = 0.43, seed-aware 95% CI [0.40, 0.47] at alpha=0.05.",N3 (seed-aware reanalysis of the 303 E30 files),data/v5_campaigns/runs/N3/E30_seed_aware_analysis.json ; data/v5_campaigns/reports/N3_E30_seed_statistics.csv ; source arrays data/3_threshold_scaling/data/E30_scaling/,code/campaigns/n3_reanalyse.py,Figure04_thresholds.png (d),data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §5 ; data/v5_campaigns/RUN_STATUS.md,established,"N3 exact values: b = 0.43078, bootstrap median 0.43009, CI [0.39638, 0.46520]. The bootstrap unit is a disorder seed, never a motif. N3 also records that a pure power law is preferred over a power-plus-floor model by only dAICc = 2.11, i.e. weak model selection. At fixed P=100 the exponent is instead 0.903 [0.886, 0.921] - the two protocols must not be conflated."
C-25,3 Threshold law,Sec. 3.1 (range paragraph),"The max-min range of the sample narrows too, more slowly, and is fully accounted for by the one-point width and Gaussian order statistics.","Range 0.15 (N=1000) -> 0.078, 0.055, 0.050 at N = 8000, 1e4, 1.4e4. Fitting range(N)/sqrt(2 ln(alpha N)) ~ N^-b_gap gives b_gap = 0.42, seed-aware 95% CI [0.37, 0.47], indistinguishable from the width exponent.",E30 / N3,data/v5_campaigns/runs/N3/E30_seed_aware_analysis.json ; data/3_threshold_scaling/data/E30_scaling/,code/experiments/e30_analysis.py ; code/campaigns/n3_reanalyse.py,Figure04_thresholds.png (d),docs/worklogs/CYCLE_worklog.md E30 ; data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §5,qualified,"CHECK: the N3 synthesis reports the *raw* range exponent d = 0.27582, CI [0.22538, 0.33040], i.e. without the sqrt(2 ln P) correction. The manuscript's 0.42 [0.37, 0.47] is the log-corrected fit and is not tabulated in the N3 synthesis - locate or re-run that specific fit before submission."
C-26,3 Threshold law,"Sec. 3.2, Eq. (25)",A parameter-free finite-P Gaussian extreme-value estimate tracks the observed sample maxima at the level of their natural fluctuations.,"Mean signed error +0.005, maximum absolute error 0.024, vs a sample-to-sample spread of the maxima of order 0.01-0.03.",E24 / N3,data/v5_campaigns/runs/N3/E30_seed_aware_analysis.json,code/campaigns/n3_reanalyse.py,Figure04_thresholds.png (e),data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §5,qualified,"DISCREPANCY TO RESOLVE: the N3 synthesis reports mean signed error +0.00734 and maximum absolute error 0.02745 for the Gaussian extreme prediction, and notes that the imposed extreme form is disfavoured by dAICc = 8.37 against a free power law. The manuscript quotes +0.005 / 0.024. Reconcile the subset used (all sizes vs N >= 4000) or update the numbers."
C-27,3 Threshold law,"Sec. 3.2, Eq. (26)","Because P grows linearly while sigma shrinks approximately as N^-1/2, the two transitions merge in the thermodynamic limit.",lambda* - mean(lambda_c) ~ sigma sqrt(2 ln(alpha N)) -> 0.,E30 / N3 (extrapolation),data/v5_campaigns/runs/N3/E30_seed_aware_analysis.json,code/campaigns/n3_reanalyse.py,Figure02_global_bifurcation.png (d),data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §5,qualified,Conditional extrapolation: measured over N = 1e3 to 1.4e4 only. The V3 audit explicitly requires this to be stated as conditional.
C-28,4 Extreme selection,"Sec. 4.1, Eq. (27)","In every disorder realization the independently continued static maximizer, the slowest relay bond and the final arrest memory are the same pattern; and the static extreme equals the dynamical onset at 1e-3 resolution.","20 networks at N=2000, P=100, beta=20, tau=10. Motif identity 20/20. 19 admissible realizations satisfy |lambda*_static - lambda_onset_dyn| < 1e-3, largest retained discrepancy 7.3e-4, against a threshold spread of order 1e-1.",N1 (static extreme vs independent dynamic onset),data/v5_campaigns/reports/N1_static_extreme_vs_dynamic_onset.csv ; data/v5_campaigns/reports/N1_multiseed_identity_summary.json ; data/v5_campaigns/runs/N1/,code/campaigns/n1_overnight.py ; code/campaigns/n1_compare.py ; code/campaigns/n1_convergence_audit.py,"Figure05_extreme_selection.png (b,c)",data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §3 ; data/v5_campaigns/N1_AUDIT_CONCLUSION.md,established,"Seed 48 is excluded because its first and second static-extreme brackets overlap, so the unique extreme required by the test is not identifiable - not because it is an outlier. The claim must be worded as an equality at resolution 1e-3, never as an exact mathematical identity."
C-29,4 Extreme selection,Sec. 4.1,In the reference sample the maximizer is memory 91 and lambda* = 0.328.,Below this value a moving initial history stops at memory 91; above it the trajectory completes the ring.,E6b/E9 + N1,data/3_threshold_scaling/data/E24_thr_N2000_P100_s42.npz ; data/2_recall_cycle_snic/data/E9_bond_times.npz,code/experiments/e24_thresholds.py ; code/core/pacemaker_scan.py,Figure05_extreme_selection.png (a),docs/worklogs/CYCLE_worklog.md E6/E9,established,
C-30,4 Extreme selection,Sec. 4.2,"Approaching onset from above, only the critical bond slows; the other 99 relays barely notice.","For lambda = 0.332, 0.330, 0.329, 0.328 the median relay times are 17.8, 18.0, 18.1, 18.3 while the critical 91->92 relay takes 35.6, 41.5, 46.9, 72.9.",E9 (per-bond statistics near lambda*),data/2_recall_cycle_snic/data/E9_bond_times.npz,code/core/pacemaker_scan.py ; code/core/cycle_figures.py,Figure06_snic.png (e),docs/worklogs/CYCLE_worklog.md E9,established,
C-31,4 Extreme selection,"Sec. 4.2, Eq. (28)",A direct ghost fit of the critical passage time gives a square-root divergence.,"t_(91->92) ~ C / sqrt(lambda - lambda_g) with C = 2.3 +/- 0.2 (9% relative) and lambda_g = 0.3262, consistent with the independently bracketed onset lambda in [0.327, 0.328].",E9,data/2_recall_cycle_snic/data/E9_bond_times.npz,code/core/pacemaker_scan.py ; code/core/cycle_figures.py,"Figure06_snic.png (e, inset)",docs/worklogs/CYCLE_worklog.md E9,established,
C-32,4 Extreme selection,Sec. 4.2,A logarithmic divergence is rejected by model comparison; the free exponent brackets 1/2 and excludes 0 and 1.,Free exponent between 0.43 and 0.51 at 95% confidence.,"N2 (two-sided local laws, 5 seeds)","data/v5_campaigns/runs/N2/summary_seeds_42.json (and 47, 51, 52, 60) ; data/v5_campaigns/reports/N2_summary.json ; data/v5_campaigns/reports/N2_fit_windows.csv",code/campaigns/n2_analyse.py ; code/campaigns/n2_local_laws.py,Figure06_snic.png (a),data/v5_campaigns/SYNTHESE_NUMERICAL_WORKPLAN.md §4 ; data/v5_campaigns/reports/N2_GATE_STATUS.md,qualified,"N2 per-seed effective exponents: 42 -> 0.539, 47 -> 0.520, 52 -> 0.410, 60 -> 0.439; pooled 0.477 with bootstrap [0.424, 0.529] and 0.470 [0.435, 0.504] on the near window. Seed 51 is archived but must not be used for a local exponent (its dynamic bracket does not contain the exact static fold). CHECK: the manuscript's [0.43, 0.51] is close to the near-window interval [0.435, 0.504] but is not verbatim any tabulated N2 interval - state which one. The first N2 static sweep followed the unstable saddle branch and is invalid; it is archived under runs/N2_INVALID_STATIC_BRANCH_20260729/."
C-33,4 Extreme selection,"Sec. 4.2, Eq. (29)","From below, the leading real eigenvalue of the pinned terminal state softens with square-root slope and reaches zero at the same fold.","zeta_max ~ -2.1 sqrt(lambda* - lambda), lambda*_spectral ~ 0.328.",E12 (spectral reading of the pinned-front saddle-node),data/3_threshold_scaling/data/E12_pinned_branch.npz,code/experiments/e12*  (see docs/worklogs/CYCLE_worklog.md E12) ; code/core/reduced_spectrum.py,Figure06_snic.png (d),docs/worklogs/CYCLE_worklog.md E12,established,
C-34,4 Extreme selection,Sec. 4.2 (resolution caveat),Points closer than delta ~ 1e-4 to the threshold lie below the resolution at which lambda* itself is defined and are shown as illustration only.,"Bisection brackets are +/- 2e-4; the quantitative support for the square-root law is the decade delta in [1e-3, 1e-2].",E12 / E24,data/3_threshold_scaling/data/E12_pinned_branch.npz,code/experiments/e24_thresholds.py,Figure06_snic.png (d),docs/worklogs/CYCLE_worklog.md E12/E24,limitation,
C-35,4 Extreme selection,"Sec. 4.3, Eq. (30)",The measured inter-memory period decomposes exactly into an imposed delay plus a delay-independent nonlinear escape time.,"T1(lambda, tau) = tau + t_esc(lambda); for tau = 5, 10, 20 the extracted escape times collapse to three significant digits.",E1 + E4 (pacemaker law collapse),data/2_recall_cycle_snic/data/floquet_scan_N2000_tau10.0.npz ; data/2_recall_cycle_snic/data/cycle_lam0.9_tau10.0_N2000.npz,code/core/pacemaker_scan.py ; code/core/cycle_figures.py,Figure06_snic.png (f),docs/worklogs/CYCLE_worklog.md E1/E4,established,
C-36,4 Extreme selection,Sec. 4.4,"The recall cycle never loses stability: no Floquet multiplier approaches the unit circle. It dies by losing its route, not its attractivity.","Broad scan lambda = 0.35 to 0.95 plus near-threshold controls at 0.335 and 0.329. Contraction per tour A = -ln|mu_1| grows from 220 at lambda=0.400 to 420 at 0.335 and 440 at 0.329, while the contraction rate per unit time stays between about -0.16 and -0.23 t0^-1. Phase multiplier stays neutral (ln|mu_0| = 0.001).","E11 (full Floquet spectra), E13, E14 (floor-free Benettin/QR contraction)",data/2_recall_cycle_snic/data/floquet_scan_N2000_tau10.0.npz ; data/2_recall_cycle_snic/data/E11_floquet_spectra_N500.npz,code/core/floquet_monodromy.py ; code/core/pacemaker_scan.py ; code/experiments/e14_contraction_near_death.py,Figure06_snic.png (g),docs/worklogs/CYCLE_worklog.md E11/E13/E14 ; 0_worklogs/FLOQUET_methodology.md,established,"The rez field of floquet_scan_N2000_tau10.0.npz is ln|mu*|/T computed from a floored |mu*|; it is an upper bound on Re z_1, NOT a measurement, and must not be plotted as one (see figures_v2/README.md). The N=2000 Arnoldi scan points sit at the relative floor 2e-16 and are lower bounds only."
C-37,5 Invariant circle,Sec. 5.1,"Just below lambda*, the unstable branch of the index-one saddle paired with the terminal memory tours the entire ordered sequence and returns to the node it left: the union of node, saddle and connecting branches is a numerically closed invariant circle.",At lambda = 0.323 (lambda* - lambda = 0.005) the tour takes 1991 t0 and closes with Gram-metric distance 3.5e-14; at lambda = 0.318 it takes 2138 t0 and closes within about 1e-13. The state itself is an order-one vector.,E34 (invariant circle / necklace),data/2_recall_cycle_snic/E34_INVARIANT_CIRCLE_RESULTS.md ; data/2_recall_cycle_snic/data/E34/,code/experiments/e34_lib.py ; code/experiments/e34_necklace_wu_n2000.py ; code/experiments/e34_et1pp_followup.py,"Figure07_invariant_circle.png (a,b,c)","docs/worklogs/CYCLE_worklog.md E34 (ET1'' entry, 2026-07-27)",established,Established at the terminal and penultimate stages of the reference realization only.
C-38,5 Invariant circle,Sec. 5.1,One step deeper in the removal sequence the construction repeats: two surviving beads form a single closed circle threading the ghosts of the other 98 memories.,At lambda = 0.3076 patterns 43 and 91 survive; the unstable branch at 43 reaches node 91 and that at 91 reaches node 43.,E34,data/2_recall_cycle_snic/E34_INVARIANT_CIRCLE_RESULTS.md ; data/2_recall_cycle_snic/data/E34/,code/experiments/e34_necklace_wu_n2000.py,Figure07_invariant_circle.png (a),docs/worklogs/CYCLE_worklog.md E34,established,
C-39,5 Invariant circle,Sec. 5.1 (limitation),"Farther below threshold most local links are certified individually, but the complete many-bead object has not been closed end to end.",Circle established as the terminal organizing structure only.,E34,data/2_recall_cycle_snic/E34_INVARIANT_CIRCLE_RESULTS.md (Sec. 10 'Limites'),code/experiments/e34_necklace_wu_n2000.py,Figure07_invariant_circle.png,docs/worklogs/CYCLE_worklog.md E34,limitation,The V5 evidence register goes further and asks that a rigorous SNIC not be claimed at all (global invariant-circle topology and asymptotic normal-form coefficients not established). The V4 manuscript does claim a SNIC; this is the single largest wording risk in the paper and should be checked against the audit trail in [local archive] 4_campaigns/manuscript_audits/agent_critique/.
C-40,5 Invariant circle,Sec. 5.1 (equilibrium branches),"The stable node persists up to lambda = 0.328 and the paired index-one saddle reaches the same parameter, so the last fold sits on the invariant circle.",Node self-overlap decreases from 0.999 to 0.982; paired saddle overlap 0.982.,E34,data/2_recall_cycle_snic/E34_INVARIANT_CIRCLE_RESULTS.md,code/experiments/e34_lib.py,Figure07_invariant_circle.png,docs/worklogs/CYCLE_worklog.md E34,established,
C-41,5 Invariant circle,"Sec. 5.2, Table I",All 100 stored-pattern initial conditions converge to one and the same periodic orbit at each tested lambda; the recall cycle is a global attractor of the memory sequence.,"lambda=0.330: 100 starts, mean period 1869.4 t0, d_max = 5.3e-3. lambda=0.350: 100 starts, mean period 1633.5 t0, d_max = 9.2e-3.",E34 (cycle uniqueness),data/2_recall_cycle_snic/data/E34/E34_cycle_uniqueness_MERGED_lam0.330000.json ; data/2_recall_cycle_snic/data/E34/E34_cycle_uniqueness_MERGED_lam0.350000.json,code/experiments/e34_necklace_wu_n2000.py,-  (Table I),docs/worklogs/CYCLE_worklog.md E34,established,"VERIFIED in this reorganisation: the merged JSON for lambda=0.330 gives period_mean = 1869.4063881765176 and dist_max = 5.2637e-3 over n_patterns = 100, matching Table I. Not the only attractor in the full state space (see C-45)."
C-42,5 Invariant circle,"Sec. 5.3, Eq. (31)",Close to onset the released orbit performs exact binary recall: the sign of every neuron reproduces the stored pattern at that pattern's own peak.,At lambda = 0.330 the median analog peak over one tour is 0.992 (smallest 0.978) and b_mu(t_mu^peak) = 1.000 for every mu = 1..P.,E29 (cycle vs ghosts),data/2_recall_cycle_snic/data/E29_cycle_ghosts.npz,code/experiments/e29_cycle_vs_ghosts.py ; code/experiments/e29_fig.py,Figure07_invariant_circle.png (d),docs/worklogs/CYCLE_worklog.md E29,established,
C-43,5 Invariant circle,Sec. 5.3,The fraction of a tour spent in an exact stored pattern rises with lambda.,"Refined peak-to-peak period 1869 t0 at lambda = 0.330; exact-pattern dwell 47% of the tour at 0.330, rising to 85% at lambda = 0.90 where the tour shortens to about 1088 t0.",E29,data/2_recall_cycle_snic/data/E29_cycle_ghosts.npz,code/experiments/e29_cycle_vs_ghosts.py,Figure07_invariant_circle.png (d),docs/worklogs/CYCLE_worklog.md E29,established,
C-44,5 Invariant circle,Sec. 5.3,"At the critical bond the orbit creeps along the fold ghost, and the near-critical period accumulates there.",At lambda = 0.330 the velocity minimum of the critical relay coincides with the stored fold state to 6e-3 and its dwell time is 2.3 times the median.,E29,data/2_recall_cycle_snic/data/E29_cycle_ghosts.npz,code/experiments/e29_cycle_vs_ghosts.py,Figure07_invariant_circle.png (e),docs/worklogs/CYCLE_worklog.md E29,established,
C-45,6 Hyperchaos,Sec. 6.1,"In the window between the two transitions, residual retrieval states capture only a few percent of the sampled initial-condition ensemble.","250 initial conditions per lambda from three families, classified after 300 t0. At lambda = 0.31: 0.052 stationary retrieval (0.044 on the terminal branch), 0.47 moving, 0.47 irregular. At lambda = 0.325: 0.048 (all terminal), 0.55, 0.40. Above depinning (lambda = 0.40 and 0.90) the ordered-cycle fraction is about 80%.","E20 (basin competition), E20a-hi",data/4_attractors_basins_chaos/data/E20a_basin_fractions.npz ; data/4_attractors_basins_chaos/data/E20a_basin_fractions_hi.npz ; data/4_attractors_basins_chaos/data/E20_RESULTS.md,code/experiments/e20_common.py ; code/experiments/e20a_basin_fractions.py ; code/experiments/e20a_hi.py,-  (figures/experiments/4_attractors_basins_chaos/figN_basin_competition.png),docs/worklogs/REPORT_attracteurs.md E20,qualified,"These fractions are properties of the stated sampling families, NOT invariant phase-space volumes; their role is only to establish coexistence. The 300 t0 classification is finite-time and deliberately separate from the asymptotic Lyapunov analysis."
